aX,aY,aZ,gX,gY,gZ,target
-3488,-1590,9304,-53,-9,161,3
-3506,-1538,9320,-48,-10,215,3
-3537,-1481,9305,-57,-15,265,3
-3537,-1481,9305,-57,-15,265,3
-3583,-1422,9203,-79,-26,309,3
-3610,-1429,9079,-100,-44,356,3
-3450,-1447,9099,-102,-64,405,3
-3427,-1434,9068,-109,-76,482,3
-3412,-1306,9067,-105,-88,566,3
-3431,-1281,9008,-128,-118,660,3
-3345,-1427,9123,-153,-152,766,3
-2888,-2124,9348,-199,-188,931,3
-1753,-3950,9921,-267,-210,1258,3
-1753,-3950,9921,-267,-210,1258,3
-1237,-5039,10268,-332,-86,2555,3
-990,-5393,10090,-332,-86,2555,3
-1249,-4875,9536,-319,-12,3214,3
-1214,-4254,9028,-298,-31,3732,3
-1075,-3631,8993,-231,-99,4138,3
-872,-2755,8853,-90,-151,4444,3
-711,-2279,8833,128,-155,4663,3
-741,-1714,8630,381,-134,4857,3
-224,-955,8563,742,-150,5201,3
-224,-955,8563,742,-150,5201,3
-559,62,8087,746,-194,5381,3
-587,1111,7886,590,-395,5472,3
-440,1411,8478,401,-635,5464,3
38,1797,8968,336,-747,5459,3
-709,2108,9257,456,-692,5432,3
-1250,3418,9507,679,-542,5321,3
-1733,5239,9601,825,-364,5062,3
-2628,7366,10037,833,-269,4652,3
-2628,7366,10037,686,-195,4129,3
-2169,9355,10804,686,-195,4129,3
-3717,10332,9996,432,-12,3527,3
-4432,10756,9084,136,67,2856,3
-4176,10121,8517,-167,-39,2111,3
-3249,8829,9005,-248,-113,1469,3
-2349,7969,8827,-120,18,1007,3
