aX,aY,aZ,gX,gY,gZ,target
-1771,2743,23430,-1351,-1536,738,4
-1771,2743,23430,-1351,-1536,738,4
-1454,270,15579,-1142,-533,198,4
-1219,-2569,13668,-403,-466,-138,4
-1284,-3777,16457,637,-551,-199,4
-1048,-3278,18579,1450,-329,-147,4
-1672,-2109,18963,1802,190,-29,4
-2420,-538,19306,1684,734,65,4
-2719,348,19027,1223,1283,72,4
-3097,658,18208,636,1762,-15,4
-2679,236,16223,23,2098,-111,4
-2679,236,16223,23,2098,-111,4
-2603,-149,13531,-398,2291,-135,4
-2366,-204,11960,-626,2370,-92,4
-2504,180,11656,-706,2456,-9,4
-2877,738,11466,-720,2568,29,4
-3384,570,11091,-682,2660,6,4
-3670,403,10571,-551,2756,-46,4
-3605,-75,9932,-355,2909,-106,4
-3446,-526,9336,-134,3125,-118,4
-3412,-662,8246,48,3326,-76,4
-3412,-662,8246,48,3326,-76,4
-3742,-812,6795,158,3412,-29,4
-3939,-970,5411,207,3349,28,4
-4090,-661,5047,215,3175,107,4
-4536,-7,5717,191,3003,163,4
-4861,-4,5326,108,2935,171,4
-5053,123,4413,16,2889,160,4
-5355,240,3235,-94,2785,166,4
-5499,61,1685,-183,2573,166,4
-5827,-150,323,-204,2244,160,4
-5827,-150,323,-204,2244,160,4
-6017,-125,-610,-171,1791,156,4
-6282,252,-859,-155,1252,155,4
-6393,532,-668,-121,714,109,4
-6509,574,-437,-76,256,7,4
-6500,230,-357,-36,-152,-95,4
